person_id,full_name,ssn,date_of_birth,email,address,job_title,company_name,department,national_id,salary_usd
1,Maria Woods,178-68-0008,1985-02-22,ehudson@example.com,"36160 Angela Cliff Port Jaime, VT 30376",Occupational therapist,Gomez-Barr,Legal,188800800,66225
2,Kimberly Clark,250-78-0531,1950-05-31,angelarichardson@example.net,"9258 Schmidt Union Suite 619 Penashire, AK 99841",Learning disability nurse,"Larsen, Cooper and Stephens",Operations,286063045,108751
3,Candace Ramirez,340-38-5916,1944-11-22,elizabethhill@example.com,"59898 Wayne Lights Willieport, OR 03712",Risk analyst,"Russell, Johnson and Clark",Legal,100480394,29522
4,Mark Bond,783-20-4235,2004-01-14,davisryan@example.org,USNS Simon FPO AA 89857,Copy,"Fuller, Figueroa and Hernandez",IT Support,503353750,47013
5,Crystal Walton,812-24-1270,2004-01-09,johnbarnes@example.net,"58558 Nguyen Cliff West Jessica, NH 81371",Physiotherapist,"Williamson, Rivera and Wilson",Customer Service,349115690,65894
6,Danielle Dalton,617-20-4218,1950-01-28,jesse27@example.net,"24590 Sarah Crossing Katherinebury, TX 34810",Training and development officer,Lee-Brown,Sales,510914904,253835
7,Kevin Espinoza,291-72-4357,1977-11-19,rachelstevens@example.net,Unit 0508 Box 9782 DPO AP 92666,Child psychotherapist,"Petersen, Ross and Bailey",Product,204896499,161534
8,Brandon Kirk,295-12-1639,2006-01-15,xvasquez@example.org,"580 Amy Mount Suite 154 Davidfort, AL 94860",Investment analyst,Banks-Williams,Engineering,227439361,61810
9,Tracy Torres,673-56-0612,1957-11-06,patricia85@example.net,"29340 Mcclure Mountains East Joel, WY 14777",Patent examiner,"Barr, Hernandez and Jennings",Finance,503225034,110680
10,Cynthia Barnes,544-71-2186,1985-09-04,jasonrobertson@example.org,"6004 Andrew Knoll Apt. 440 North Sandra, UT 01772",Corporate treasurer,Moore PLC,Sales,541739471,79164
11,Brittany Kelley,209-97-9101,1955-08-04,brownmanuel@example.net,"673 Mark Point Apt. 934 West Lee, WY 84248","Designer, graphic","Mcdonald, Richardson and Johnson",Engineering,757588304,37472
12,Chad Wilson,197-97-0783,1980-07-12,rebecca29@example.net,"679 Randy Views Suite 721 Geraldville, SC 85278",Television production assistant,Garcia-Smith,Engineering,694599461,42591
13,Bobby Kane,319-88-4755,1977-09-30,tammychavez@example.org,"052 Clay Roads Robertaview, ID 81572",Communications engineer,Mcmahon Ltd,Legal,171748617,37196
14,Wayne Yang,318-83-1651,1954-03-20,lucascurry@example.com,"1432 Brenda Route Apt. 602 Douglasville, MT 98906",Research scientist (life sciences),"Jordan, Mason and Hogan",Finance,926432536,66369
15,Tyler Adams,694-77-8654,1947-01-02,mary37@example.com,"73324 Michelle Glens Port Dawnport, MT 18708",Ambulance person,Garcia-Cervantes,Finance,128586691,76969
