StudentID,Name,Age,Email,Department,GPA,GraduationYear
27248,Robert Clarke,24,robert.clarke126@yahoo.com,Mathematics,3.61,2029
96162,Alvin Wilson,18,alvin.wilson300@university.edu,Mathematics,2.89,2029
43869,Jennifer Moore,25,jennifer.moore290@hotmail.com,Chemistry,2.6,2029
58065,Brian Porter MD,19,brian.porter.md66@hotmail.com,Physics,2.69,2024
81492,Brandon Fleming,21,brandon.fleming461@university.edu,Computer Science,2.74,2029
1742,Kristen Orozco,20,vbonilla@ho.com,Biology,2.86,2030
86498,Thomas Atkins,21,thomas.atkins548@gmail.com,Biology,2.69,2025
16374,Gregory Harrell,21,gregory.harrell574@university.edu,Computer Science,2.73,2027
15881,Brian Soto,23,brian.soto714@university.edu,Chemistry,2.76,2030
90212,Mark Anderson,19,mark.anderson404@hotmail.com,Chemistry,2.41,2024
81725,William Turner,25,william.turner215@yahoo.com,Physics,3.43,2025
48576,Zachary Hicks,22,zachary.hicks246@gmail.com,Physics,2.67,2028
27037,Brenda Hinton,21,brenda.hinton797@hotmail.com,Mathematics,3.68,2025
43964,Victor Morris,20,victor.morris94@yahoo.com,Biology,3.64,2027
55869,Sara Thomas,25,sara.thomas35@hotmail.com,Computer Science,3.53,2029
65861,John Robles,22,john.robles62@yahoo.com,Chemistry,3.75,2024
99145,Michelle Jackson,23,michelle.jackson78@yahoo.com,Computer Science,2.6,2026
35574,Amanda Meadows,22,amanda.meadows768@gmail.com,Physics,2.81,2026
6697,Tyler Salazar,21,tyler.salazar49@hotmail.com,Biology,2.67,2028
25530,Kristen Sloan,22,kristen.sloan243@hotmail.com,Computer Science,3.43,2028
53461,Aaron Parker,25,aaron.parker279@university.edu,Chemistry,3.04,2027
87391,Sharon Fuentes,21,sharon.fuentes787@yahoo.com,Mathematics,2.71,2029
58292,Megan Green,24,megan.green256@yahoo.com,Chemistry,3.14,2029
6992,Holly Valentine,21,holly.valentine760@yahoo.com,Physics,1.81,2028
10006,Jennifer Esparza,25,jennifer.esparza956@hotmail.com,Physics,2.3,2030
25551,Megan Le,19,megan.le537@hotmail.com,Physics,2.7,2028
36409,Katie Alvarez,21,katie.alvarez908@yahoo.com,Chemistry,3.22,2024
71236,Daniel Kennedy,20,daniel.kennedy197@yahoo.com,Mathematics,3.31,2026
95157,Andrew Chavez,24,andrew.chavez357@hotmail.com,Chemistry,3.01,2026
62474,Carolyn Miller,21,carolyn.miller377@university.edu,Computer Science,2.94,2026
82567,Steven Carrillo,24,steven.carrillo77@hotmail.com,Computer Science,3.07,2029
3875,Angelica Keith,24,angelica.keith282@gmail.com,Chemistry,2.29,2029
81367,Dr. Jose Gray DDS,23,dr..jose.gray.dds492@yahoo.com,Mathematics,2.89,2028
